file,channel,duration,start,end,source
datafile001.ns6,ch_25,0.0198000000000035,75.16716666666666,75.18696666666666,Normal
datafile001.ns6,ch_25,0.0197666666666691,75.3193,75.33906666666667,Normal
datafile001.ns6,ch_25,0.0175333333333327,107.40976666666668,107.4273,Normal
datafile001.ns6,ch_25,0.0344666666666739,155.101,155.13546666666667,Normal
datafile001.ns6,ch_25,0.0184333333333333,1.5933333333333333,1.6117666666666666,Gauss
datafile001.ns6,ch_25,0.0280999999999984,28.09026666666667,28.118366666666667,Gauss
datafile001.ns6,ch_25,0.0185333333333375,48.6628,48.681333333333335,Gauss
datafile001.ns6,ch_25,0.0151666666666656,48.689366666666665,48.70453333333333,Gauss
datafile001.ns6,ch_25,0.017400000000002,49.9038,49.9212,Gauss
datafile001.ns6,ch_25,0.0161000000000015,50.04433333333333,50.060433333333336,Gauss
datafile001.ns6,ch_25,0.0151666666666727,73.40006666666666,73.41523333333333,Gauss
datafile001.ns6,ch_25,0.0222333333333324,73.721,73.74323333333334,Gauss
datafile001.ns6,ch_25,0.0181333333333384,75.12456666666667,75.1427,Gauss
datafile001.ns6,ch_25,0.0293000000000063,75.15793333333333,75.18723333333334,Gauss
datafile001.ns6,ch_25,0.0450999999999908,75.3075,75.3526,Gauss
datafile001.ns6,ch_25,0.0173999999999949,75.5703,75.5877,Gauss
datafile001.ns6,ch_25,0.0233333333333405,75.92153333333333,75.94486666666667,Gauss
datafile001.ns6,ch_25,0.015433333333334,101.08023333333334,101.09566666666667,Gauss
datafile001.ns6,ch_25,0.0171666666666681,133.2462,133.26336666666666,Gauss
datafile001.ns6,ch_25,0.018666666666661,138.34713333333335,138.3658,Gauss
datafile001.ns6,ch_25,0.0595333333333485,155.07763333333332,155.13716666666667,Gauss
datafile001.ns6,ch_25,0.0219333333333509,209.2498,209.27173333333332,Gauss
datafile001.ns6,ch_25,0.0167333333333203,229.0363,229.05303333333333,Gauss
datafile001.ns6,ch_25,0.01606666666666,234.5637,234.57976666666667,Gauss
datafile001.ns6,ch_25,0.0153333333333307,236.1826333333333,236.19796666666667,Gauss
datafile001.ns6,ch_25,0.0172000000000025,244.9872333333333,245.0044333333333,Gauss
datafile001.ns6,ch_25,0.0151666666666301,270.8482666666667,270.8634333333333,Gauss
datafile001.ns6,ch_25,0.0151333333333241,281.2450666666667,281.2602,Gauss
